crypto1,crypto2,HR,correlation,spread_mean,spread_std,categories
GALA,AXS,1.3506345005047387,0.9524422219303676,-6.163897449398301,0.1193983577713406,NFT
GALA,CHZ,1.2127316415412113,0.9323879627101748,-0.6734228019170049,0.14163078198697082,NFT
GALA,SAND,1.276876291132197,0.9719063478967744,-2.634965256220116,0.09222437541646887,NFT
GALA,MANA,1.287486518151974,0.9574111435786601,-2.553235157185337,0.11313252955086449,NFT
GALA,APE,0.6346101682022974,0.8873264410364109,-4.164625158751463,0.180689534260245,NFT
GALA,ENJ,1.5596212419952002,0.9435190138832442,-1.8139089659023793,0.1298207196574513,NFT
AXS,SAND,0.9050195458515408,0.9768609611551903,2.582357954628335,0.059096260531117294,NFT
AXS,MANA,0.9149989352539645,0.9648850474232085,2.642281215779427,0.07257948754539995,NFT
AXS,ENJ,1.1137886207310035,0.955506159515907,3.173871724878875,0.08150398087566096,NFT
AXS,CHR,1.1244913814278412,0.9105387500994745,4.185381572958509,0.11423381649845438,NFT
AXS,AUDIO,0.8876381074934239,0.859118507645564,3.298698260637367,0.14140989161664239,NFT
CHZ,MANA,0.9506139117225839,0.9194497616677696,-1.640133884015577,0.11845467866551045,NFT
SAND,MANA,0.9975029504527697,0.9745281338724058,0.05524121162974733,0.06688613799406247,NFT
SAND,ENJ,1.2170840555779299,0.9673340882720154,0.6380433050102716,0.07560674238207822,NFT
SAND,AUDIO,0.9833729673711881,0.8817807356003351,0.795582316711301,0.14067039635324052,NFT
MANA,ENJ,1.1925152428336243,0.9701517375242928,0.5526764646802046,0.07065837310731907,NFT
MANA,AUDIO,0.9796978488223254,0.8991958689302014,0.7325243605159819,0.12749064308429867,NFT
MANA,SLP,0.8870287869439647,0.9116808010191112,4.640654903326936,0.11972628809595066,NFT
ENJ,CHR,0.9805200399483913,0.9254821812918529,0.8490503458604043,0.0897903808915898,NFT
ENJ,AUDIO,0.8257094414797724,0.9315660917418194,0.15738538905599309,0.08618277087881941,NFT
ENJ,SLP,0.6881738496173674,0.8694158101424168,3.085953703735031,0.11711924125596468,NFT
CHR,AUDIO,0.7581761240063013,0.9062435700111822,-0.83767078714595,0.09458696907266888,NFT
CHR,SLP,0.6725415430155207,0.9001956223088969,2.1012331526423926,0.09743512225606019,NFT
WAXP,SLP,0.6720840766232034,0.9104215220020989,1.263935147207513,0.09145488202329671,NFT
AUDIO,SLP,0.7259110854275406,0.8128798811413054,2.88587232682604,0.15576187760412552,NFT
