crypto1,crypto2,HR,correlation,spread_mean,spread_std,categories
JASMY,WAVES,0.9484716874242816,0.7851802738128407,-5.996859289884739,0.14785134854913642,Monitoring
JASMY,WRX,0.7127876120526779,0.8002090479569018,-3.9288155962680955,0.14318467872038038,Monitoring
JASMY,MDX,1.2303637327261447,0.7973937666666525,-2.157607479475495,0.14407717618863547,Monitoring
WAVES,ZEN,0.9157594051032037,0.8312490327323468,-1.3703827859541962,0.10987250331040807,Monitoring
WAVES,WRX,0.5774386561334816,0.7830764432184527,1.8268656675288908,0.12292225520988956,Monitoring
WAVES,MDX,1.0305375682412354,0.8067855946662901,3.3501805679424415,0.11677913146363741,Monitoring
ZEN,MDX,0.938128933071614,0.8091090738868009,4.665042051671919,0.10543066932032191,Monitoring
OMG,MDX,2.6004504352184314,0.8831585052487129,6.589018228445242,0.2137166713541094,Monitoring
OMG,REN,1.4846710364602949,0.9302485017121025,3.7790185511818053,0.16717825727430313,Monitoring
OMG,MLN,2.4539929224716355,0.9182338427490137,-7.354924270151441,0.1804404824210424,Monitoring
OMG,REEF,1.379972839501228,0.9649422476732392,8.362032286581059,0.11958131934755872,Monitoring
WRX,MDX,1.5864043100511211,0.9158194908459677,2.1193594592562945,0.10763996632874052,Monitoring
WRX,MLN,1.2964379631634915,0.8245892239614594,-5.803366522989328,0.1516355997247489,Monitoring
MDX,REN,0.43960593246024277,0.8110398849924856,-1.4337891112154866,0.09051812852885902,Monitoring
MDX,MLN,0.7755724836622993,0.8545004712887598,-4.872958721467568,0.08037680776476516,Monitoring
MDX,REEF,0.4325168138113167,0.8905200507891841,0.07183069448976238,0.07039542318369785,Monitoring
REN,MLN,1.4880750985990883,0.8886609481383486,-7.019689356126224,0.13090791740460886,Monitoring
REN,BETA,1.3468770857168562,0.763870986504231,0.681311429421159,0.18423546673641356,Monitoring
REN,REEF,0.8224212058989508,0.9178175115732565,2.4215394544615747,0.11333353569379293,Monitoring
MLN,BETA,0.8074660852531559,0.7668405932366876,4.930752795278173,0.10942122078253995,Monitoring
MLN,REEF,0.4934652380426419,0.9221622878387054,5.976619631657996,0.06594265943054617,Monitoring
BETA,REEF,0.3593606738580242,0.7071320767971213,-0.26943071713246236,0.11447922215259243,Monitoring
