crypto1,crypto2,HR,correlation,spread_mean,spread_std,categories
CHZ,PSG,0.9747599629129619,0.9414546867978645,-3.779282134549324,0.10156407684707745,fan_token
CHZ,BAR,1.0275133786021386,0.928371789189588,-3.518285168148567,0.11196128273235555,fan_token
CHZ,SANTOS,1.098928100798503,0.9496134223756842,-3.841986763462627,0.09441959056036883,fan_token
CHZ,LAZIO,1.1877890707805692,0.9354430436343628,-3.404676547472477,0.10648591090415702,fan_token
CHZ,PORTO,1.372534366754663,0.9332890464741327,-3.481206173749436,0.10818757804854971,fan_token
CHZ,ACM,1.4843033890500268,0.9156096618170263,-3.5945767113802765,0.12112402726231349,fan_token
PSG,BAR,1.0510490938925126,0.983231339375753,0.27106287447201444,0.05306009756614766,fan_token
PSG,SANTOS,1.094677591456758,0.9794044085679217,-0.021749015396970547,0.05874711838518252,fan_token
PSG,LAZIO,1.2076813689416146,0.9847560377422226,0.39339113131783315,0.050609805304755805,fan_token
PSG,PORTO,1.3748214685952165,0.967915640088071,0.3317150565129677,0.07311089436771746,fan_token
PSG,ACM,1.4793334673033702,0.9448264251716935,0.22408931793399586,0.09530993066623061,fan_token
BAR,SANTOS,1.015055740617701,0.970807242615053,-0.24415023801001273,0.06528666925446888,fan_token
BAR,LAZIO,1.1054688612021681,0.9635851294286794,0.15281352772591425,0.07278286239247533,fan_token
BAR,PORTO,1.2816967217819597,0.9645922430235703,0.07824651765205498,0.07178774297934433,fan_token
BAR,ACM,1.4033551360782826,0.9581220313494572,-0.041401568397474636,0.07794307930455063,fan_token
SANTOS,LAZIO,1.0765894239484914,0.9811842501506045,0.40151534674008466,0.05026100792205191,fan_token
SANTOS,PORTO,1.2346641925521256,0.9715479251640398,0.33945813928883734,0.061655047306066545,fan_token
SANTOS,ACM,1.3138482610144564,0.9378974017102032,0.2545018836450311,0.09030842549350268,fan_token
LAZIO,PORTO,1.1386026283865847,0.983076010620561,-0.051229712224160506,0.04346398144150466,fan_token
LAZIO,ACM,1.2005174555886915,0.9403253450958561,-0.12072050724462305,0.08073106662920655,fan_token
PORTO,ACM,1.0631692025375707,0.9644886786502866,-0.06803999727066942,0.05410427126140054,fan_token
