crypto1,crypto2,HR,correlation,spread_mean,spread_std,categories
MATIC,AXS,0.9652366374999739,0.9518007233604867,-2.044708088377031,0.08594587662659224,Launchpad
MATIC,SAND,0.9023732884198742,0.9604466778762818,0.4696041224950637,0.07802900130115675,Launchpad
MATIC,ONE,0.8615977475465081,0.9592558571440242,3.438837191138044,0.07917083363235762,Launchpad
MATIC,C98,0.9878104320557364,0.9081190661418954,1.4401250624981683,0.11732822052040907,Launchpad
AXS,SAND,0.9050195458515408,0.9768609611551903,2.582357954628335,0.059096260531117294,Launchpad
AXS,ONE,0.8342584612568836,0.9419292694402503,5.43379097118814,0.09278860151236129,Launchpad
AXS,BAND,1.118325053892836,0.9110366021968233,1.4829798707102329,0.11393035850050884,Launchpad
AXS,C98,0.9656521476168713,0.9002801275251198,3.513851661655531,0.12028153202694518,Launchpad
AXS,ALPHA,1.1096925188545244,0.81516176607632,4.436240966287626,0.16004895882343456,Launchpad
SAND,ALPHA,1.2393240943715549,0.8434342666256522,2.0785479905717312,0.16022720688665915,Launchpad
KAVA,SFP,-0.3320629110044293,-0.3930865363822867,-0.42635178103065174,0.15946619057744457,Launchpad
KAVA,ALPHA,0.6665773305524497,0.7801440083979104,1.3199558400966556,0.10849579526947915,Launchpad
ONE,BAND,1.2628930590348877,0.9112062192393708,-4.706775500982185,0.12851742101900665,Launchpad
ONE,C98,1.1387748633072015,0.9403232036739206,-2.3326626427239563,0.10615898113107672,Launchpad
BAND,C98,0.8243876335168068,0.9434538265440976,1.7506597978604492,0.07462009123558219,Launchpad
CELR,C98,0.7901653648786797,0.7940097354062946,-2.7932286836416167,0.15584186652220836,Launchpad
