crypto1,crypto2,HR,correlation,spread_mean,spread_std,categories
AXS,SAND,0.9050195458515408,0.9768609611551903,2.582357954628335,0.059096260531117294,Metaverse
AXS,MANA,0.9149989352539645,0.9648850474232085,2.642281215779427,0.07257948754539995,Metaverse
AXS,ALICE,0.8642836413382224,0.9676467995552289,1.7797984450655886,0.06971584192168748,Metaverse
AXS,TLM,0.9017540818493849,0.938504524743623,5.73071344723538,0.09540129526207967,Metaverse
AXS,BURGER,0.9618256775516348,0.9590709529940545,2.630007618879776,0.07824204257249451,Metaverse
SAND,MANA,0.9975029504527697,0.9745281338724058,0.05524121162974733,0.06688613799406247,Metaverse
SAND,MBOX,0.9221428129587695,0.9469156069604925,0.22119798131799154,0.09588067150563662,Metaverse
SAND,ALICE,0.9419903768020642,0.9770847668842362,-0.8849790696347264,0.06348174562259283,Metaverse
SAND,TLM,0.966722234558575,0.932127168051238,3.3527323887397418,0.10800401846455678,Metaverse
SAND,BURGER,1.03039990744437,0.9518869801643866,0.028083928852813026,0.09139716346247095,Metaverse
MANA,SLP,0.8870287869439647,0.9116808010191112,4.640654903326936,0.11972628809595066,Metaverse
MANA,MBOX,0.8598404470074276,0.90375511212171,0.09804653569329042,0.12472360203680935,Metaverse
MANA,ALICE,0.9058652965747954,0.9617655265986815,-0.9372216136113706,0.07980045616948796,Metaverse
MANA,TLM,0.9627635153836275,0.9501953271898818,3.278648600510081,0.09080889050948159,Metaverse
MANA,BURGER,0.9885479503990807,0.9347535499461036,-0.06094760604563037,0.10352507121894236,Metaverse
SLP,BURGER,0.9824026059129078,0.9038238435204925,-5.400614232174051,0.12814641247009967,Metaverse
MBOX,ALICE,0.9461981771357724,0.9557730809587381,-1.1890960008840836,0.09007198624845575,Metaverse
MBOX,BURGER,1.0484750410617456,0.9432451554694149,-0.26172917725071865,0.10170737146668356,Metaverse
ALICE,TLM,1.0424683271368824,0.969059740592242,4.567553770410721,0.07635742489827417,Metaverse
ALICE,BURGER,1.090369578951327,0.9711079858077026,0.9666466518291797,0.07382508752924989,Metaverse
TLM,BURGER,1.0026970515206362,0.9606735968392746,-3.4870403263237173,0.07985319517166062,Metaverse
