crypto1,crypto2,HR,correlation,spread_mean,spread_std,categories
DOGE,ETC,0.9593886127729758,0.8803768287688545,-5.405231961259008,0.0651567788293623,pow
DOGE,ONT,0.6674564504060494,0.7709884166483386,-1.5412927958817433,0.08749154579955931,pow
ETC,RVN,0.48777587737378525,0.8853555667135034,4.8198796575496985,0.05861066764316417,pow
ETC,ZIL,0.518861525476147,0.8845655263890351,4.894836165552494,0.058799946846911096,pow
ETC,DCR,0.4925791382665672,0.8184007344465376,1.542224051168915,0.07244449539905241,pow
ETC,ONT,0.6382713795689252,0.8034451721978482,3.936300805820187,0.07505798104794345,pow
ETC,FLUX,0.3591512428460911,0.8630288000900173,3.1771898655253614,0.06368365241085033,pow
ETC,KDA,0.3198031552631767,0.8448474663396918,3.029558399481449,0.06744709001512283,pow
ETC,DGB,0.6619137479260144,0.9081890119490112,6.103775874273895,0.05276689929314334,pow
RVN,ZIL,1.006463414034847,0.9453206189943459,-0.06397401767634346,0.07462912369326487,pow
RVN,DCR,1.0355129965450263,0.94786862110666,-6.79153121071481,0.07291726811492079,pow
RVN,DASH,0.6825914822348704,0.9428506369096252,-6.380436436974813,0.07624763133752128,pow
RVN,FLUX,0.7260293381477951,0.9611799038581389,-3.374990076477521,0.06313758596528442,pow
RVN,DGB,1.253734460464249,0.9477264496453844,2.1358686925214396,0.07301396481444118,pow
ZIL,DCR,0.8994891177649612,0.8766119115272145,-6.321735022297492,0.10342033564989042,pow
ZIL,DASH,0.60463341334007,0.8891868666590517,-6.007367172631782,0.09833659514142548,pow
ZIL,FLUX,0.6440084996332875,0.9077389536068029,-3.344533671015392,0.09016765026201087,pow
ZIL,KDA,0.572875199258477,0.8877221192710242,-3.6094499721073507,0.0989459963801778,pow
ZIL,DGB,1.1542687834700873,0.9289733397580129,1.7464117111895994,0.07955287881023869,pow
ZEC,DCR,0.8795631493369735,0.9467475193144084,1.0115239223735213,0.06265433591155478,pow
DCR,DASH,0.6318243746970759,0.9534234250861865,0.4968456472091848,0.06317940255026126,pow
DCR,FLUX,0.6254795805069101,0.9046301447552694,3.2457993271307175,0.08926977356710926,pow
DCR,KDA,0.5945702917385253,0.9453851395076829,3.001242422499723,0.06827343534126257,pow
DCR,DGB,1.1122053676879304,0.9184802720552051,8.147724381011132,0.08283303501656923,pow
FLUX,DGB,1.5990855348238566,0.9130585366108714,6.976480009709887,0.12354610735897274,pow
KDA,DGB,1.7645073987604756,0.9164373138903638,8.145940780964263,0.13327620429005108,pow
